lamb,N,d,h,nb_layers,nb_head,loss
2,40,54,20,1,1,1.5340228581428528
2,40,56,20,1,1,1.5375742495059967
2,40,58,20,1,1,1.5378272211551667
2,40,60,20,1,1,1.5384054040908814
2,40,62,20,1,1,1.5393734061717987
2,40,64,20,1,1,1.5377306354045868
2,40,66,20,1,1,1.539994386434555
2,40,68,20,1,1,1.537934250831604
2,40,70,20,1,1,1.5374948000907898
2,40,72,20,1,1,1.5377441596984864
2,40,74,20,1,1,1.537659810781479
2,40,76,20,1,1,1.5364381134510041
2,40,78,20,1,1,1.5352692353725432
2,50,2,20,1,1,1.6800784361362457
2,50,4,20,1,1,1.649220118522644
2,50,6,20,1,1,1.6372426784038543
2,50,8,20,1,1,1.6250582981109618
2,50,10,20,1,1,1.6073428690433502
2,50,12,20,1,1,1.5997026216983796
2,50,14,20,1,1,1.5994224548339844
2,50,16,20,1,1,1.588308527469635
2,50,18,20,1,1,1.5845171082019807
2,50,20,20,1,1,1.5814597749710082
2,50,22,20,1,1,1.578630496263504
2,50,24,20,1,1,1.5725406801700592
2,50,26,20,1,1,1.571302477121353
2,50,28,20,1,1,1.5687638080120088
2,50,30,20,1,1,1.5676457381248474
2,50,32,20,1,1,1.565832827091217
2,50,34,20,1,1,1.5638843393325805
2,50,36,20,1,1,1.5634419405460358
2,50,38,20,1,1,1.56734583735466
2,50,40,20,1,1,1.5630431461334229
2,50,42,20,1,1,1.5615279722213744
2,50,44,20,1,1,1.5608546781539916
2,50,46,20,1,1,1.5644668221473694
2,50,48,20,1,1,1.56380464553833
2,50,50,20,1,1,1.5617380499839784
2,50,52,20,1,1,1.5636985528469085
2,50,54,20,1,1,1.5629330205917358
2,50,56,20,1,1,1.5641359901428222
2,50,58,20,1,1,1.561804792881012
2,50,60,20,1,1,1.5647316730022431
2,50,62,20,1,1,1.5646069955825805
2,50,64,20,1,1,1.5635556030273436
2,50,66,20,1,1,1.5644774329662323
2,50,68,20,1,1,1.5632153594493865
2,50,70,20,1,1,1.5645806467533112
2,50,72,20,1,1,1.5623074185848236
2,50,74,20,1,1,1.5607650184631348
2,50,76,20,1,1,1.5638750529289245
2,50,78,20,1,1,1.5619617974758149
2,50,80,20,1,1,1.5647377920150758
2,50,82,20,1,1,1.5632515335083008
2,50,84,20,1,1,1.5641941440105438
2,50,86,20,1,1,1.5619558322429656
2,50,88,20,1,1,1.5627647531032562
2,50,90,20,1,1,1.5617170441150665
2,50,92,20,1,1,1.5633304190635682
2,50,94,20,1,1,1.5645968329906463
2,50,96,20,1,1,1.5641621851921081
2,50,98,20,1,1,1.5661501204967498
