lamb,N,d,h,nb_layers,nb_head,loss
2,20,7,91,1,1,1.5532460224628448
2,20,7,105,1,1,1.5454746580123901
2,20,7,119,1,1,1.5510174095630647
2,20,7,133,1,1,1.548485542535782
2,20,8,8,1,1,1.540534133911133
2,20,8,24,1,1,1.5453459489345551
2,20,8,40,1,1,1.5367779684066774
2,20,8,56,1,1,1.5454441714286804
2,20,8,72,1,1,1.53930966258049
2,20,8,88,1,1,1.536645189523697
2,20,8,104,1,1,1.537528898715973
2,20,8,120,1,1,1.5404135167598725
2,20,8,136,1,1,1.5397567212581635
2,20,8,152,1,1,1.5399521374702454
2,20,9,9,1,1,1.5388659608364106
2,20,9,27,1,1,1.537743617296219
2,20,9,45,1,1,1.5350949835777283
2,20,9,63,1,1,1.5317581284046173
2,20,9,81,1,1,1.5315518510341644
2,20,9,99,1,1,1.5348616862297058
2,20,9,117,1,1,1.5301592075824737
2,20,9,135,1,1,1.5327324557304383
2,20,9,153,1,1,1.53024444937706
2,20,9,171,1,1,1.5331281840801239
2,20,10,10,1,1,1.534607207775116
2,20,10,30,1,1,1.5288573896884918
2,20,10,50,1,1,1.5300133669376372
2,20,10,70,1,1,1.531755257844925
2,20,10,90,1,1,1.5264469480514526
2,20,10,110,1,1,1.527406780719757
2,20,10,130,1,1,1.5303350675106049
2,20,10,150,1,1,1.5265218925476074
2,20,10,170,1,1,1.530565733909607
2,20,10,190,1,1,1.530521719455719
2,20,11,11,1,1,1.5319766187667847
2,20,11,33,1,1,1.5270108222961425
2,20,11,55,1,1,1.5295994460582734
2,20,11,77,1,1,1.5240943670272826
2,20,11,99,1,1,1.5232185554504394
2,20,11,121,1,1,1.5233314371109008
2,20,11,143,1,1,1.5246233236789704
2,20,11,165,1,1,1.5242666280269623
2,20,11,187,1,1,1.5224766647815704
2,20,11,209,1,1,1.5246456921100617
2,20,12,12,1,1,1.523754017353058
2,20,12,36,1,1,1.52003453373909
2,20,12,60,1,1,1.521662518978119
2,20,12,84,1,1,1.5216470766067505
2,20,12,108,1,1,1.5233679986000062
2,20,12,132,1,1,1.5222247159481048
2,20,12,156,1,1,1.5190599584579467
2,20,12,180,1,1,1.5198994970321655
